"field_id","itr_form","assessment_year","feature_area","schema_path","field_name","field_type","required","allowed_values","description","source_name","source_url","source_file","verification_status","source_reference"
"IF-2_202-00342","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnderDTAARate.DateRange.Upto15Of9","Upto15Of9","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnderDTAARate.DateRange.Upto15Of9"
"IF-2_202-00343","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnderDTAARate.DateRange.Up16Of9To15Of12","Up16Of9To15Of12","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnderDTAARate.DateRange.Up16Of9To15Of12"
"IF-2_202-00344","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnderDTAARate.DateRange.Up16Of12To15Of3","Up16Of12To15Of3","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnderDTAARate.DateRange.Up16Of12To15Of3"
"IF-2_202-00345","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnderDTAARate.DateRange.Up16Of3To31Of3","Up16Of3To31Of3","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.LongTermUnderDTAARate.DateRange.Up16Of3To31Of3"
"IF-2_202-00346","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.VDATrnsfGainsUnder30Per","VDATrnsfGainsUnder30Per","reference","NO","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.VDATrnsfGainsUnder30Per"
"IF-2_202-00347","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.VDATrnsfGainsUnder30Per.DateRange","DateRange","object","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.VDATrnsfGainsUnder30Per.DateRange"
"IF-2_202-00348","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.VDATrnsfGainsUnder30Per.DateRange.Upto15Of6","Upto15Of6","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.VDATrnsfGainsUnder30Per.DateRange.Upto15Of6"
"IF-2_202-00349","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.VDATrnsfGainsUnder30Per.DateRange.Upto15Of9","Upto15Of9","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.VDATrnsfGainsUnder30Per.DateRange.Upto15Of9"
"IF-2_202-00350","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.VDATrnsfGainsUnder30Per.DateRange.Up16Of9To15Of12","Up16Of9To15Of12","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.VDATrnsfGainsUnder30Per.DateRange.Up16Of9To15Of12"
"IF-2_202-00351","ITR-2","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.VDATrnsfGainsUnder30Per.DateRange.Up16Of12To15Of3","Up16Of12To15Of3","integer","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-08/ITR-2_2026_Main_V1.2.json","ITR-2_2026_Main_V1.2.json","VERIFIED","Official published source record: ITR.ITR2.ScheduleCGFor23.AccruOrRecOfCG.VDATrnsfGainsUnder30Per.DateRange.Up16Of12To15Of3"
