"validation_id","itr_form","assessment_year","validation_code","workflow","field_or_schedule","validation_message","source_name","source_url","source_file","verification_status","source_reference"
"IVAL-ITR4-0025","ITR-4","2026-27","37","filing_readiness","","If Old Tax Regime is selected, In Schedule Income Details, the maximum limit","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 37"
"IVAL-ITR4-0026","ITR-4","2026-27","38","filing_readiness","","If Old Tax Regime is selected, Deduction u/s 80TTA should be restricted to interest","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 38"
"IVAL-ITR4-0027","ITR-4","2026-27","39","filing_readiness","","If Old Tax Regime is selected, Deduction under section 80TTA cannot be claimed by","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 39"
"IVAL-ITR4-0029","ITR-4","2026-27","41","filing_readiness","","If Old Tax Regime is selected and Assessee being a senior citizen claiming deduction u/s","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 41"
"IVAL-ITR4-0031","ITR-4","2026-27","44","filing_readiness","44","If Old Tax Regime is selected and the assessee is claiming deduction under section 80U,","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 44"
"IVAL-ITR4-0032","ITR-4","2026-27","45","filing_readiness","","In Part A General ""Name of the representative, are mandatory if in Part- Verification","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 45"
"IVAL-ITR4-0033","ITR-4","2026-27","46","filing_readiness","","Total income should be the difference between ""Gross total income"" and ""Total","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 46"
"IVAL-ITR4-0034","ITR-4","2026-27","47","filing_readiness","","In case of old tax regime deduction u/s 80CCD (2) should not be more than 14% of","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 47"
"IVAL-ITR4-0035","ITR-4","2026-27","48","filing_readiness","","The name as entered by you in the return does not match with the name as per the PAN","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 48"
"IVAL-ITR4-0036","ITR-4","2026-27","49","filing_readiness","","If Old Tax Regime is selected and Gross Total Income is not equal to the Total of","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 49"
"IVAL-ITR4-0037","ITR-4","2026-27","51","filing_readiness","51","Rebate u/s 87A is claimed by Resident Individual having Total income (including LTCG","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 51"
"IVAL-ITR4-0038","ITR-4","2026-27","52","filing_readiness","","The amount of ""Tax after Rebate "" should be equal to ""Tax payable on total income""","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 52"
"IVAL-ITR4-0041","ITR-4","2026-27","55","filing_readiness","","In Schedule Part B- Gross Total Income, Sl.no B3iii. Annual Value should be output of","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 55"
"IVAL-ITR4-0042","ITR-4","2026-27","56","filing_readiness","","In ""Schedule Income Details"" Balance Tax after relief should be equal to the sum of","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 56"
"IVAL-ITR4-0045","ITR-4","2026-27","60","filing_readiness","","In Schedule Gross total Income, Sl.no B3k .Income chargeable under the head ‘House","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 60"
"IVAL-ITR4-0046","ITR-4","2026-27","61","filing_readiness","","In ""Schedule Income Details"" Tax paid to local authorities shall not be allowed for Type","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 61"
"IVAL-ITR4-0047","ITR-4","2026-27","62","filing_readiness","","In ""Schedule Income Details"" Income from other sources should be equal to amount","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 62"
